"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","CPI","FOOD","AGRWTH","A","2018",0.8703139,
"BRA","CPI","TOT","AGRWTH","A","2018",3.66485,
"BRA","CPI","TOT","AGRWTH","A","2019",3.732976,
"BRA","CPI","TOT","AGRWTH","A","2020",3.211768,
"BRA","CPI","TOT","AGRWTH","A","2021",8.30166,
"BRA","CPI","TOT","AGRWTH","A","2022",9.280107,
"CHN","CPI","FOOD","AGRWTH","A","2018",1.9,
"CHN","CPI","FOOD","AGRWTH","A","2019",7.3,
"CHN","CPI","TOT","AGRWTH","A","2018",2.1,
"CHN","CPI","TOT","AGRWTH","A","2019",2.9,
"CHN","CPI","TOT","AGRWTH","A","2020",2.5,
"CHN","CPI","TOT","AGRWTH","A","2021",0.9,
"IND","CPI","TOT","AGRWTH","A","2018",4.8607,
"IND","CPI","TOT","AGRWTH","A","2019",7.659695,
"IND","CPI","TOT","AGRWTH","A","2020",5.561349,
"IND","CPI","TOT","AGRWTH","A","2021",4.890086,
"IND","CPI","TOT","AGRWTH","A","2022",5.90043,
"RUS","CPI","FOOD","AGRWTH","A","2018",1.616422,
"RUS","CPI","FOOD","AGRWTH","A","2019",5.672521,
"RUS","CPI","FOOD","AGRWTH","A","2020",4.325421,
"RUS","CPI","FOOD","AGRWTH","A","2021",9.604795,
"RUS","CPI","TOT","AGRWTH","A","2018",2.878305,
"RUS","CPI","TOT","AGRWTH","A","2019",4.470367,
"RUS","CPI","TOT","AGRWTH","A","2020",3.38166,
"RUS","CPI","TOT","AGRWTH","A","2021",6.694456,
"ZAF","CPI","ENRG","AGRWTH","A","2018",10.34624,
"ZAF","CPI","ENRG","AGRWTH","A","2019",5.212743,
"ZAF","CPI","ENRG","AGRWTH","A","2020",-0.09177165,
"ZAF","CPI","ENRG","AGRWTH","A","2021",14.31061,
"ZAF","CPI","ENRG","AGRWTH","A","2022",23.59661,
"ZAF","CPI","FOOD","AGRWTH","A","2018",3.14826,
"ZAF","CPI","FOOD","AGRWTH","A","2019",3.549488,
"ZAF","CPI","FOOD","AGRWTH","A","2020",4.388361,
"ZAF","CPI","FOOD","AGRWTH","A","2021",6.098331,
"ZAF","CPI","FOOD","AGRWTH","A","2022",9.284925,
"ZAF","CPI","TOT","AGRWTH","A","2018",4.517165,
"ZAF","CPI","TOT","AGRWTH","A","2019",4.120246,
"ZAF","CPI","TOT","AGRWTH","A","2020",3.210036,
"ZAF","CPI","TOT","AGRWTH","A","2021",4.611672,
"ZAF","CPI","TOT","AGRWTH","A","2022",7.039727,
"OECD","CPI","ENRG","AGRWTH","A","2018",7.590344,
"OECD","CPI","ENRG","AGRWTH","A","2019",0.4507383,
"OECD","CPI","ENRG","AGRWTH","A","2020",-6.309431,
"OECD","CPI","ENRG","AGRWTH","A","2021",15.52952,
"OECD","CPI","ENRG","AGRWTH","A","2022",29.68415,
"OECD","CPI","FOOD","AGRWTH","A","2018",1.878724,
"OECD","CPI","FOOD","AGRWTH","A","2019",2.077775,
"OECD","CPI","FOOD","AGRWTH","A","2020",3.418522,
"OECD","CPI","FOOD","AGRWTH","A","2021",3.469886,
"OECD","CPI","FOOD","AGRWTH","A","2022",13.1552,
"OECD","CPI","TOT","AGRWTH","A","2018",2.607168,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068906,
"OECD","CPI","TOT","AGRWTH","A","2020",1.346857,
"OECD","CPI","TOT","AGRWTH","A","2021",3.987142,
"OECD","CPI","TOT","AGRWTH","A","2022",9.549362,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2018",4.161757,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2019",4.124458,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2020",3.359348,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2021",3.119678,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.556124,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.117726,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.141381,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.694103,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.954771,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2022",6.749227,
"RUS","CPI","ENRG","AGRWTH","A","2018",6.585834,
"RUS","CPI","ENRG","AGRWTH","A","2019",4.665833,
"RUS","CPI","ENRG","AGRWTH","A","2020",2.46,
"RUS","CPI","ENRG","AGRWTH","A","2021",5.109167,
"RUS","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.971667,
"RUS","CPI","TOT_FOODENRG","AGRWTH","A","2019",3.82,
"RUS","CPI","TOT_FOODENRG","AGRWTH","A","2020",3.010833,
"RUS","CPI","TOT_FOODENRG","AGRWTH","A","2021",5.456666,
"IND","CPI","FOOD","AGRWTH","A","2018",1.252763,
